Latitude,Longitude,TimeStamp
59.732017,-149.521077,1466112599
59.731757,-149.52105,1466112605
59.731593,-149.521058,1466112609
59.731385,-149.521205,1466112615
59.731265,-149.521355,1466112619
59.731083,-149.521608,1466112625
59.730947,-149.521783,1466112629
59.730877,-149.52186,1466112631
59.730757,-149.521963,1466112635
59.7307,-149.522,1466112637
59.73064,-149.522027,1466112639
59.730483,-149.522078,1466112645
59.73038,-149.522127,1466112649
59.730238,-149.522198,1466112655
59.730147,-149.52222,1466112659
59.73001,-149.52227,1466112665
59.72988,-149.522305,1466112671
59.72988,-149.522305,1466112671
59.729792,-149.522295,1466112675
59.729658,-149.52227,1466112681
59.729617,-149.522262,1466112683
59.729577,-149.522252,1466112685
59.729457,-149.522235,1466112691
59.729375,-149.522262,1466112695
59.729252,-149.522302,1466112701
59.729177,-149.52232,1466112705
59.72909,-149.522352,1466112711
59.72904,-149.522387,1466112715
59.728955,-149.52243,1466112721
59.728903,-149.522458,1466112725
59.728903,-149.522458,1466112725
59.728835,-149.522503,1466112731
59.728807,-149.522513,1466112733
59.72878,-149.522528,1466112735
59.72869,-149.522613,1466112741
59.72863,-149.522682,1466112745
59.728558,-149.522822,1466112751
59.728558,-149.522822,1466112751
59.728495,-149.522988,1466112757
59.728477,-149.523045,1466112759
59.72846,-149.5231,1466112761
59.728427,-149.523218,1466112765
59.728407,-149.523273,1466112767
59.728367,-149.52338,1466112771
59.728315,-149.523462,1466112775
59.728285,-149.523493,1466112777
59.728253,-149.52352,1466112779
59.728225,-149.523548,1466112781
59.728142,-149.523643,1466112787
59.728102,-149.523772,1466112791
59.72805,-149.523988,1466112797
59.728003,-149.524122,1466112801
59.727947,-149.52429,1466112807
59.727917,-149.524378,1466112811
59.727867,-149.524477,1466112817
59.727822,-149.52451,1466112821
59.727768,-149.524585,1466112827
59.727717,-149.524662,1466112833
59.72768,-149.524702,1466112837
59.727633,-149.52477,1466112843
59.72761,-149.524822,1466112847
59.727585,-149.524872,1466112851
59.72757,-149.524892,1466112853
59.72754,-149.524937,1466112857
59.72754,-149.524937,1466112857
59.727513,-149.52503,1466112863
59.727497,-149.525095,1466112867
59.727483,-149.525177,1466112873
59.727482,-149.525267,1466112877
59.727477,-149.525417,1466112883
59.727467,-149.525512,1466112887
59.727447,-149.525657,1466112893
59.727428,-149.525755,1466112897
59.727387,-149.525887,1466112903
59.727358,-149.52597,1466112907
59.727312,-149.526078,1466112913
59.72724,-149.526147,1466112919
59.727192,-149.526177,1466112923
59.727112,-149.526198,1466112929
59.727065,-149.526243,1466112933
59.727003,-149.526372,1466112939
59.726952,-149.526502,1466112943
59.726883,-149.526718,1466112949
59.726883,-149.526718,1466112949
59.72683,-149.52688,1466112953
59.726802,-149.526962,1466112955
59.726752,-149.527112,1466112959
59.726752,-149.527112,1466112959
59.726702,-149.527295,1466112963
59.726578,-149.527477,1466112969
59.726475,-149.527548,1466112973
59.726318,-149.527642,1466112979
59.726217,-149.527715,1466112983
59.726217,-149.527715,1466112983
59.726108,-149.527815,1466112987
59.726053,-149.527865,1466112989
59.725942,-149.527965,1466112993
59.725757,-149.528117,1466112999
59.725693,-149.528165,1466113001
59.72563,-149.528218,1466113003
59.725433,-149.528358,1466113009
59.72527,-149.52854,1466113015
59.72527,-149.52854,1466113015
59.725143,-149.528643,1466113019
59.72494,-149.528802,1466113025
59.724812,-149.528895,1466113029
59.724748,-149.528933,1466113031
59.724613,-149.529003,1466113035
59.724478,-149.529067,1466113039
59.724288,-149.529175,1466113045
59.724157,-149.52925,1466113049
59.723952,-149.529343,1466113055
59.7238,-149.529398,1466113059
59.723578,-149.529438,1466113065
59.723445,-149.529465,1466113069
59.72324,-149.529457,1466113075
59.723082,-149.529395,1466113079
59.723002,-149.529355,1466113081
59.722858,-149.529273,1466113085
59.722792,-149.529235,1466113087
59.72272,-149.529198,1466113089
59.722578,-149.52913,1466113093
59.72251,-149.52909,1466113095
59.722448,-149.529045,1466113097
59.722392,-149.529007,1466113099
59.722392,-149.529007,1466113099
59.722278,-149.528947,1466113103
59.72222,-149.528913,1466113105
59.722162,-149.528877,1466113107
59.722055,-149.5288,1466113111
59.722055,-149.5288,1466113111
59.721945,-149.52871,1466113115
59.72177,-149.528553,1466113121
59.721717,-149.528498,1466113123
59.721667,-149.528435,1466113125
59.721545,-149.528188,1466113131
59.721475,-149.528033,1466113135
59.721357,-149.527823,1466113141
59.721357,-149.527823,1466113141
59.721277,-149.527675,1466113145
59.721157,-149.527445,1466113151
59.721052,-149.52732,1466113155
59.720865,-149.52716,1466113161
59.720733,-149.527062,1466113165
59.720533,-149.526923,1466113171
59.720395,-149.52681,1466113175
59.720185,-149.52657,1466113181
59.720185,-149.52657,1466113181
59.72006,-149.52635,1466113185
59.72006,-149.52635,1466113185
59.720008,-149.526227,1466113187
59.719923,-149.525962,1466113191
59.71987,-149.52567,1466113195
59.71981,-149.52525,1466113201
59.719708,-149.524808,1466113207
59.719587,-149.524487,1466113211
59.719373,-149.524077,1466113217
59.719235,-149.523882,1466113221
59.719045,-149.523595,1466113227
59.718933,-149.523373,1466113231
59.718763,-149.52315,1466113237
59.71863,-149.523087,1466113241
59.71863,-149.523087,1466113241
59.718437,-149.523088,1466113247
59.718313,-149.523122,1466113251
59.718252,-149.523143,1466113253
59.718133,-149.523198,1466113257
59.718012,-149.52329,1466113261
59.717845,-149.523447,1466113267
59.717743,-149.523567,1466113271
59.717592,-149.523767,1466113277
59.717487,-149.523835,1466113281
59.717433,-149.523868,1466113283
59.717313,-149.523957,1466113287
59.717202,-149.524095,1466113291
59.717033,-149.524227,1466113297
59.716933,-149.52424,1466113301
59.716878,-149.524228,1466113303
59.716772,-149.524168,1466113307
59.716603,-149.524052,1466113313
59.716548,-149.52401,1466113315
59.716492,-149.523968,1466113317
59.716433,-149.52393,1466113319
59.716332,-149.523897,1466113323
59.716245,-149.523907,1466113327
59.716125,-149.523955,1466113333
59.716053,-149.524,1466113337
59.715977,-149.524028,1466113343
59.715927,-149.524063,1466113347
59.715862,-149.524137,1466113353
59.715822,-149.524175,1466113357
59.715763,-149.52428,1466113363
59.715737,-149.524375,1466113367
59.715682,-149.524467,1466113373
59.715632,-149.52449,1466113373
59.715592,-149.524533,1466113383
59.715577,-149.524597,1466113387
59.715548,-149.524725,1466113393
59.715537,-149.524803,1466113397
59.71553,-149.524843,1466113399
59.71551,-149.524917,1466113403
59.71551,-149.524917,1466113403
59.715443,-149.525007,1466113409
59.715372,-149.525045,1466113413
59.715283,-149.525123,1466113419
59.715223,-149.52516,1466113423
59.715182,-149.525175,1466113425
59.715103,-149.525142,1466113429
59.715103,-149.525142,1466113429
59.715037,-149.525017,1466113433
59.71493,-149.524798,1466113439
59.71493,-149.524798,1466113439
59.714845,-149.524655,1466113443
59.714687,-149.524605,1466113449
59.714572,-149.524655,1466113453
59.71439,-149.524723,1466113459
59.71427,-149.524725,1466113463
59.714063,-149.524753,1466113469
59.714063,-149.524753,1466113469
59.71392,-149.524817,1466113473
59.713733,-149.524985,1466113479
59.7136,-149.525268,1466113485
59.713522,-149.525505,1466113489
59.713467,-149.525623,1466113491
59.713413,-149.525733,1466113493
59.713353,-149.5258,1466113495
59.713233,-149.525825,1466113499
59.713233,-149.525825,1466113499
59.713028,-149.52574,1466113505
59.712897,-149.525623,1466113509
59.712787,-149.525452,1466113513
59.712728,-149.525377,1466113515
59.712728,-149.525377,1466113515
59.71261,-149.52526,1466113519
59.712467,-149.52506,1466113525
59.712467,-149.52506,1466113525
59.712423,-149.524983,1466113527
59.712378,-149.52491,1466113529
59.712233,-149.52465,1466113535
59.71214,-149.524458,1466113539
59.711975,-149.52423,1466113545
59.711918,-149.5242,1466113547
59.711862,-149.524193,1466113549
59.711713,-149.524347,1466113555
59.711682,-149.524435,1466113557
59.711605,-149.524612,1466113561
59.711517,-149.524767,1466113565
59.711387,-149.52501,1466113571
59.711387,-149.52501,1466113571
59.71127,-149.525155,1466113575
59.711067,-149.525247,1466113581
59.71099,-149.525225,1466113583
59.710913,-149.52519,1466113585
59.710708,-149.525052,1466113591
59.710588,-149.524945,1466113595
59.710463,-149.524815,1466113599
59.710397,-149.524768,1466113601
59.710253,-149.524683,1466113605
59.710017,-149.524572,1466113611
59.70984,-149.524522,1466113615
59.709578,-149.524515,1466113621
59.709437,-149.524502,1466113625
59.70929,-149.524492,1466113629
59.709215,-149.524487,1466113631
59.709062,-149.524478,1466113635
59.70886,-149.52442,1466113641
59.708715,-149.524405,1466113645
59.708643,-149.524413,1466113647
59.708517,-149.524437,1466113651
59.708317,-149.524478,1466113657
59.708188,-149.524547,1466113661
59.708188,-149.524547,1466113661
59.70796,-149.524702,1466113667
