TimeSinceStart,UserHeight,TrialID,ParticipantID,ExperimentSequence,Dataset,Layout,TaskID,TaskLevel,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,LeftMenuButtonPressed,LeftTriggerButtonPressed,LeftGripButtonPressed,LeftPadPressed,RightMenuButtonPressed,RightTriggerButtonPressed,RightGripButtonPressed,RightPadPressed,RotatingClockwise,RotatingAnticlockwise,ScaleUp,ScaleDown,SMManagerPosition.x,SMManagerPosition.y,SMManagerPosition.z,SMManagerScale,SMRotationDiff,FilterXMin,FilterXMax,FilterYMin,FilterYMax,FilterZMin,FilterZMax,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
13.48889,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9682869,0.5434633,-2.134244,337.7645,197.118,359.724,-1.607981,0.7989353,-2.075861,345.8431,202.0769,4.998981,-1.481872,0.8130418,-2.034534,345.0778,182.6588,359.5614,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.52222,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9682623,0.5434964,-2.134103,337.7612,197.1071,359.7198,-1.607983,0.7989855,-2.075821,345.8419,202.0776,4.997192,-1.482023,0.8130164,-2.034594,345.0713,182.6672,359.5497,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.54445,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9683889,0.5434804,-2.134159,337.7396,197.1171,359.721,-1.607886,0.7990377,-2.075993,345.8451,202.0733,5.001671,-1.481972,0.8130324,-2.034654,345.0765,182.6545,359.5535,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.57778,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9685707,0.543511,-2.134341,337.7558,197.115,359.7305,-1.607814,0.7989941,-2.075925,345.8405,202.0652,5.028551,-1.481867,0.8131477,-2.034547,345.0689,182.6726,359.5308,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.6,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9685196,0.5434622,-2.134229,337.7701,197.0982,359.7069,-1.6078,0.7990121,-2.075889,345.848,202.0624,5.021625,-1.481887,0.8130866,-2.034528,345.0612,182.6709,359.5267,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.62222,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9684878,0.5434712,-2.134271,337.7573,197.1231,359.7234,-1.607807,0.7990302,-2.075826,345.8384,202.0684,5.014289,-1.481965,0.8130047,-2.034664,345.0663,182.6763,359.5269,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.65556,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9684792,0.5434451,-2.134234,337.7638,197.0872,359.7212,-1.6078,0.7989874,-2.075986,345.8371,202.0653,5.025071,-1.481995,0.8129079,-2.034621,345.0645,182.6709,359.5326,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.68889,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9686072,0.5434449,-2.134327,337.7674,197.1122,359.719,-1.607805,0.7990066,-2.075971,345.8325,202.055,5.010993,-1.482004,0.812907,-2.034629,345.0616,182.6691,359.5482,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.71111,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9685677,0.5434023,-2.134377,337.7557,197.1057,359.7426,-1.607864,0.7989953,-2.075931,345.8382,202.0681,5.000051,-1.482068,0.8129531,-2.034678,345.0722,182.6617,359.5515,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
13.73333,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-0.9685327,0.5434337,-2.134395,337.7751,197.108,359.7289,-1.607867,0.7989855,-2.075869,345.8373,202.0593,5.007212,-1.48213,0.8129131,-2.034785,345.0726,182.6631,359.5553,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
