TimeSinceStart,UserID,TrialID,TaskID,Dataset,Layout,QuestionType,TrialState,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMHighlighted1,SMHighlighted2,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
26.26667,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5525283,0.5956082,Small Multiples 21,Small Multiples 27,NA,4.518692,-7.004338,-50.20639
26.28889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5557392,0.5981752,Small Multiples 21,Small Multiples 27,NA,5.481051,-7.737869,-49.94477
26.32222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5561849,0.5961782,Small Multiples 21,Small Multiples 27,NA,4.876784,-8.368276,-49.91422
26.35556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5687681,0.5801685,Small Multiples 21,Small Multiples 27,NA,1.974058,-9.423336,-50.01627
26.38889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5731611,0.5337098,Small Multiples 21,Small Multiples 27,NA,-1.793275,-14.43231,-48.82235
26.42222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5734677,0.5365759,Small Multiples 21,Small Multiples 27,NA,-1.631022,-13.72053,-49.04669
26.45556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5759609,0.5186961,Small Multiples 21,Small Multiples 27,NA,-3.323233,-15.42929,-48.46455
26.48889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5743636,0.4988233,Small Multiples 21,Small Multiples 27,NA,-4.525137,-17.85572,-47.49434
26.52222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5743636,0.4988233,Small Multiples 21,Small Multiples 27,NA,-4.382747,-17.80515,-47.52282
26.55556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5743636,0.4988233,Small Multiples 21,Small Multiples 27,NA,-4.217736,-17.68744,-47.57868
26.57778,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5815952,0.4706382,Small Multiples 21,Small Multiples 27,NA,-6.876234,-20.01965,-46.35292
26.61111,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.5815952,0.4706382,Small Multiples 21,Small Multiples 27,NA,-6.771868,-19.7771,-46.47633
