TimeSinceStart,UserID,TrialID,TaskID,Dataset,Layout,QuestionType,TrialState,SMManagerPosition.x,SMManagerPosition.y,SMManagerPosition.z,SMManagerScale,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z
39.5,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.88484,0.8209046,-1.864056,328.6825,195.9792,358.6919
39.53333,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884934,0.821007,-1.864054,328.6516,195.9769,358.6868
39.56667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885098,0.821067,-1.864158,328.7029,195.9733,358.6829
39.6,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884996,0.8210429,-1.864265,328.6436,195.9774,358.6957
39.63334,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884948,0.8211056,-1.864205,328.653,195.984,358.7101
39.66667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.884912,0.8211318,-1.864048,328.6508,195.9712,358.6977
39.7,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885248,0.821137,-1.864162,328.6445,195.9442,358.6977
39.73333,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.88532,0.8212339,-1.864155,328.6619,195.9509,358.7102
39.76667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,0.2899931,-0.6,0.6,-1.885284,0.8210999,-1.864233,328.6414,195.9588,358.6891
39.8,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885197,0.8211629,-1.864335,328.6876,195.9656,358.7112
39.83334,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885186,0.8210734,-1.864251,328.6227,195.98,358.7056
39.86667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885202,0.8210652,-1.864285,328.6637,195.9489,358.7177
39.9,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885201,0.8211356,-1.864317,328.6353,195.9564,358.726
39.93333,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885243,0.8211645,-1.864384,328.6374,195.9608,358.7279
39.96667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.88526,0.8211554,-1.864341,328.6412,195.9769,358.6932
40,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885217,0.8212088,-1.864388,328.6282,195.9709,358.7063
40.03333,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.88534,0.8211845,-1.864307,328.6522,195.9449,358.7138
40.06667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885418,0.8211394,-1.864113,328.6451,195.9807,358.688
40.1,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885626,0.8212261,-1.864052,328.6517,195.98,358.691
40.13334,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885754,0.8212786,-1.86395,328.6658,195.9533,358.6994
40.16667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885721,0.8212451,-1.863937,328.6703,195.9629,358.6767
40.2,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885827,0.8212442,-1.864098,328.6595,195.9655,358.6934
40.23333,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.88585,0.8212376,-1.864148,328.6537,195.9596,358.7129
40.26667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.88578,0.8213052,-1.864085,328.661,195.9496,358.6893
40.3,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885844,0.8211575,-1.864146,328.6543,195.9703,358.6993
40.33334,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885771,0.8212202,-1.864348,328.6747,195.9409,358.7146
40.36667,3,1,Training,Bar,Half-Circle,Long Distance,PreTask,0,-99.71001,-0.6,0.6,-1.885746,0.8212582,-1.864306,328.6472,195.9568,358.6965
